"","year","accomplishment","person","gender","category","female","row_num","p_count","p_flag","person_c"
"1",1738,"First free African-American community","Gracia Real de Santa Teresa de Mose","African-American Firsts","Social & Jobs",0,1,0,0,"Gracia Real de Santa Teresa de Mose"
"2",1760,"First known African-American published author","Jupiter Hammon","Female African American Firsts","Arts & Entertainment",1,2,0,0,"Jupiter Hammon"
"3",1768,"First known African-American to be elected to public office","Wentworth Cheswell, town constable in Newmarket, New Hampshire","African-American Firsts","Social & Jobs",0,3,1,0,"Wentworth Cheswell, town constable in Newmarket, New Hampshire"
"4",1773,"First known African-American woman to publish a book","Phillis Wheatley","Female African American Firsts","Arts & Entertainment",1,4,0,0,"Phillis Wheatley"
"5",1773,"First separate African-American church","Silver Bluff Baptist Church, Aiken County, South Carolina","African-American Firsts","Religion",0,5,0,0,"Silver Bluff Baptist Church, Aiken County, South Carolina"
"6",1775,"First African-American to join the Freemasons","Prince Hall","African-American Firsts","Social & Jobs",0,6,0,0,"Prince Hall"
"7",1778,"First African-American U.S. military regiment","The 1st Rhode Island Regiment","African-American Firsts","Military",0,7,0,0,"The 1st Rhode Island Regiment"
"8",1783,"First African-American to formally practice medicine","James Derham, who did not hold an M.D. degree.","African-American Firsts","Education & Science",0,8,3,0,"James Derham, who did not hold an M.D. degree."
"9",1785,"First African-American ordained as a Christian minister in the United States","Rev. Lemuel Haynes. He was ordained in the Congregational Church, which became the United Church of Christ","African-American Firsts","Religion",0,9,2,0,"Rev. Lemuel Haynes. He was ordained in the Congregational Church, which became the United Church of Christ"
"10",1792,"First major African-American Back-to-Africa movement","3,000 Black Loyalist slaves,  who had escaped to British lines during the American Revolutionary War for the promise of freedom, were relocated to Nova Scotia and given land. Later, 1,200 chose to migrate to West Africa and settle in the new British colony of Settler Town, which is present-day Sierra Leone","African-American Firsts","Social & Jobs",0,10,2,1,"3,000 Black Loyalist slaves,  who had escaped to British lines during the American Revolutionary War for the promise of freedom, were relocated to Nova Scotia and given land. Later, 1,200 chose to migrate to West Africa and settle in the new British colony of Settler Town, which is present-day Sierra Leone."
"11",1793,"First African Methodist Episcopal ","Mother Bethel A.M.E. Church, Philadelphia, Pennsylvania was founded by Richard Allen","African-American Firsts","Religion",0,11,3,0,"Mother Bethel A.M.E. Church, Philadelphia, Pennsylvania was founded by Richard Allen"
"12",1794,"First African Episcopal Church established","Absalom Jones founded African Episcopal Church of St. Thomas, Philadelphia, Pennsylvania","Female African American Firsts","Religion",1,12,1,0,"Absalom Jones founded African Episcopal Church of St. Thomas, Philadelphia, Pennsylvania"
"13",1804,"First African-American ordained as an Episcopal priest","Absalom Jones in Philadelphia, Pennsylvania","African-American Firsts","Religion",0,13,0,0,"Absalom Jones in Philadelphia, Pennsylvania"
"14",1807,"First African-American Presbyterian Church in America","First African Presbyterian Church founded in Philadelphia, Pennsylvania by John Gloucester a former slave","African-American Firsts","Religion",0,14,1,0,"First African Presbyterian Church founded in Philadelphia, Pennsylvania by John Gloucester a former slave"
"15",1816,"First fully independent African-American denomination","African Methodist Episcopal Church","African-American Firsts","Religion",0,15,0,0,"African Methodist Episcopal Church"
"16",1821,"First African-American to hold a patent","Thomas L. Jennings, for a dry-cleaning process","African-American Firsts","Education & Science",0,16,1,0,"Thomas L. Jennings, for a dry-cleaning process"
"17",1822,"First African-American captain to sail a whaleship with an all-black crew","Absalom Boston","African-American Firsts","Military",0,17,0,0,"Absalom Boston"
"18",1823,"First African-American to receive a degree from an American college","Alexander Twilight, Middlebury College","African-American Firsts","Education & Science",0,18,0,0,"Alexander Twilight, Middlebury College"
"19",1827,"First African-American owned-and-operated newspaper","Freedom's Journal, founded in New York City by Rev. Peter Williams Jr. and other free blacks","African-American Firsts","Arts & Entertainment",0,19,3,1,"Freedom's Journal, founded in New York City by Rev. Peter Williams Jr. and other free blacks."
"20",1836,"First African-American elected to serve in a state legislature","Alexander Twilight, Vermont","African-American Firsts","Military",0,20,0,0,"Alexander Twilight, Vermont"
"21",1837,"First formally trained African-American medical doctor","Dr James McCune Smith of New York City, who was educated at the University of Glasgow, Scotland, and returned to practice in New York.","African-American Firsts","Education & Science",0,21,1,1,"Dr James McCune Smith of New York City, who was educated at the University of Glasgow, Scotland, and returned to practice in New York.."
"22",1845,"First African-American licensed to practice law","Macon Allen from the Boston bar","African-American Firsts","Law",0,22,0,0,"Macon Allen from the Boston bar"
